,id,city,zipCode,list_price,baths
2216,3542840089,Mattituck,11952,1095000,3
2217,4068836272,East Hampton,11937,18995000,8
2218,3651483610,East Hampton,11937,4495000,6
2219,9135534016,Sagaponack,11962,27500000,17
2220,4320632096,East Hampton,11937,3995000,7
2221,3978840061,Port Jefferson Station,11776,499990,2
2222,4528089672,Westhampton,11977,2699000,4
2223,4560478667,Port Jefferson,11777,975000,5
2224,4622503716,East Islip,11730,400000,2
2225,4355382664,Dix Hills,11746,2475000,4
2226,9942955464,Huntington,11743,1200000,4
2227,4068836272,East Hampton,11937,18995000,8
2228,3533730752,Commack,11725,667000,3
2229,3647622809,Brentwood,11717,639000,2
2230,4124648059,East Hampton,11937,3495000,5
2231,3522803057,East Hampton,11937,2595000,4
2232,9200255023,Water Mill,11976,19950000,12
2233,4154571724,East Hampton,11937,3695000,6
2234,4072798171,Ridge,11961,399000,2
2235,4697368030,Greenport,11944,875000,2
2236,3542840089,Mattituck,11952,1095000,3
2237,4068836272,East Hampton,11937,18995000,8
2238,3651483610,East Hampton,11937,4495000,6
2239,9135534016,Sagaponack,11962,27500000,17
2240,4320632096,East Hampton,11937,3995000,7
2241,3978840061,Port Jefferson Station,11776,499990,2
2242,4528089672,Westhampton,11977,2699000,4
2243,4560478667,Port Jefferson,11777,975000,5
2244,4622503716,East Islip,11730,400000,2
2245,4355382664,Dix Hills,11746,2475000,4
2246,9942955464,Huntington,11743,1200000,4
2247,4068836272,East Hampton,11937,18995000,8
2248,3533730752,Commack,11725,667000,3
2249,3647622809,Brentwood,11717,639000,2
2250,4124648059,East Hampton,11937,3495000,5
2251,3522803057,East Hampton,11937,2595000,4
2252,9200255023,Water Mill,11976,19950000,12
2253,4154571724,East Hampton,11937,3695000,6
2254,4072798171,Ridge,11961,399000,2
2255,4697368030,Greenport,11944,875000,2
2256,3542840089,Mattituck,11952,1095000,3
2257,4068836272,East Hampton,11937,18995000,8
2258,3651483610,East Hampton,11937,4495000,6
2259,9135534016,Sagaponack,11962,27500000,17
2260,4320632096,East Hampton,11937,3995000,7
2261,3978840061,Port Jefferson Station,11776,499990,2
2262,4528089672,Westhampton,11977,2699000,4
2263,4560478667,Port Jefferson,11777,975000,5
2264,4622503716,East Islip,11730,400000,2
2265,4355382664,Dix Hills,11746,2475000,4
2266,9942955464,Huntington,11743,1200000,4
2267,4068836272,East Hampton,11937,18995000,8
2268,3533730752,Commack,11725,667000,3
2269,3647622809,Brentwood,11717,639000,2
2270,4124648059,East Hampton,11937,3495000,5
2271,3522803057,East Hampton,11937,2595000,4
2272,9200255023,Water Mill,11976,19950000,12
2273,4154571724,East Hampton,11937,3695000,6
2274,4072798171,Ridge,11961,399000,2
2275,4697368030,Greenport,11944,875000,2
2276,3542840089,Mattituck,11952,1095000,3
2277,4068836272,East Hampton,11937,18995000,8
2278,3651483610,East Hampton,11937,4495000,6
2279,9135534016,Sagaponack,11962,27500000,17
2280,4320632096,East Hampton,11937,3995000,7
2281,3978840061,Port Jefferson Station,11776,499990,2
2282,4528089672,Westhampton,11977,2699000,4
2283,4560478667,Port Jefferson,11777,975000,5
2284,4622503716,East Islip,11730,400000,2
2285,4355382664,Dix Hills,11746,2475000,4
2286,9942955464,Huntington,11743,1200000,4
2287,4068836272,East Hampton,11937,18995000,8
2288,3533730752,Commack,11725,667000,3
2289,3647622809,Brentwood,11717,639000,2
2290,4124648059,East Hampton,11937,3495000,5
2291,3522803057,East Hampton,11937,2595000,4
2292,9200255023,Water Mill,11976,19950000,12
2293,4154571724,East Hampton,11937,3695000,6
2294,4072798171,Ridge,11961,399000,2
2295,4697368030,Greenport,11944,875000,2
2296,3542840089,Mattituck,11952,1095000,3
2297,4068836272,East Hampton,11937,18995000,8
2298,3651483610,East Hampton,11937,4495000,6
2299,9135534016,Sagaponack,11962,27500000,17
2300,4320632096,East Hampton,11937,3995000,7
2301,3978840061,Port Jefferson Station,11776,499990,2
2302,4528089672,Westhampton,11977,2699000,4
2303,4560478667,Port Jefferson,11777,975000,5
2304,4622503716,East Islip,11730,400000,2
2305,4355382664,Dix Hills,11746,2475000,4
2306,9942955464,Huntington,11743,1200000,4
2307,4068836272,East Hampton,11937,18995000,8
2308,3533730752,Commack,11725,667000,3
2309,3647622809,Brentwood,11717,639000,2
2310,4124648059,East Hampton,11937,3495000,5
2311,3522803057,East Hampton,11937,2595000,4
2312,9200255023,Water Mill,11976,19950000,12
2313,4154571724,East Hampton,11937,3695000,6
2314,4072798171,Ridge,11961,399000,2
2315,4697368030,Greenport,11944,875000,2
2316,3542840089,Mattituck,11952,1095000,3
2317,4068836272,East Hampton,11937,18995000,8
2318,3651483610,East Hampton,11937,4495000,6
2319,9135534016,Sagaponack,11962,27500000,17
2320,4320632096,East Hampton,11937,3995000,7
2321,3978840061,Port Jefferson Station,11776,499990,2
2322,4528089672,Westhampton,11977,2699000,4
2323,4560478667,Port Jefferson,11777,975000,5
2324,4622503716,East Islip,11730,400000,2
2325,4355382664,Dix Hills,11746,2475000,4
2326,9942955464,Huntington,11743,1200000,4
2327,4068836272,East Hampton,11937,18995000,8
2328,3533730752,Commack,11725,667000,3
2329,3647622809,Brentwood,11717,639000,2
2330,4124648059,East Hampton,11937,3495000,5
2331,3522803057,East Hampton,11937,2595000,4
2332,9200255023,Water Mill,11976,19950000,12
2333,4154571724,East Hampton,11937,3695000,6
2334,4072798171,Ridge,11961,399000,2
2335,4697368030,Greenport,11944,875000,2
2336,3542840089,Mattituck,11952,1095000,3
2337,4068836272,East Hampton,11937,18995000,8
2338,3651483610,East Hampton,11937,4495000,6
2339,9135534016,Sagaponack,11962,27500000,17
2340,4320632096,East Hampton,11937,3995000,7
2341,3978840061,Port Jefferson Station,11776,499990,2
2342,4528089672,Westhampton,11977,2699000,4
2343,4560478667,Port Jefferson,11777,975000,5
2344,4622503716,East Islip,11730,400000,2
2345,4355382664,Dix Hills,11746,2475000,4
2346,9942955464,Huntington,11743,1200000,4
2347,4068836272,East Hampton,11937,18995000,8
2348,3533730752,Commack,11725,667000,3
2349,3647622809,Brentwood,11717,639000,2
2350,4124648059,East Hampton,11937,3495000,5
2351,3522803057,East Hampton,11937,2595000,4
2352,9200255023,Water Mill,11976,19950000,12
2353,4154571724,East Hampton,11937,3695000,6
2354,4072798171,Ridge,11961,399000,2
2355,4697368030,Greenport,11944,875000,2
2356,3542840089,Mattituck,11952,1095000,3
2357,4068836272,East Hampton,11937,18995000,8
2358,3651483610,East Hampton,11937,4495000,6
2359,9135534016,Sagaponack,11962,27500000,17
2360,4320632096,East Hampton,11937,3995000,7
2361,3978840061,Port Jefferson Station,11776,499990,2
2362,4528089672,Westhampton,11977,2699000,4
2363,4560478667,Port Jefferson,11777,975000,5
2364,4622503716,East Islip,11730,400000,2
2365,4355382664,Dix Hills,11746,2475000,4
2366,9942955464,Huntington,11743,1200000,4
2367,4068836272,East Hampton,11937,18995000,8
2368,3533730752,Commack,11725,667000,3
2369,3647622809,Brentwood,11717,639000,2
2370,4124648059,East Hampton,11937,3495000,5
2371,3522803057,East Hampton,11937,2595000,4
2372,9200255023,Water Mill,11976,19950000,12
2373,4154571724,East Hampton,11937,3695000,6
2374,4072798171,Ridge,11961,399000,2
2375,4697368030,Greenport,11944,875000,2
2376,3542840089,Mattituck,11952,1095000,3
2377,4068836272,East Hampton,11937,18995000,8
2378,3651483610,East Hampton,11937,4495000,6
2379,9135534016,Sagaponack,11962,27500000,17
2380,4320632096,East Hampton,11937,3995000,7
2381,3978840061,Port Jefferson Station,11776,499990,2
2382,4528089672,Westhampton,11977,2699000,4
2383,4560478667,Port Jefferson,11777,975000,5
2384,4622503716,East Islip,11730,400000,2
2385,4355382664,Dix Hills,11746,2475000,4
2386,9942955464,Huntington,11743,1200000,4
2387,4068836272,East Hampton,11937,18995000,8
2388,3533730752,Commack,11725,667000,3
2389,3647622809,Brentwood,11717,639000,2
2390,4124648059,East Hampton,11937,3495000,5
2391,3522803057,East Hampton,11937,2595000,4
2392,9200255023,Water Mill,11976,19950000,12
2393,4154571724,East Hampton,11937,3695000,6
2394,4072798171,Ridge,11961,399000,2
2395,4697368030,Greenport,11944,875000,2
2396,3542840089,Mattituck,11952,1095000,3
2397,4068836272,East Hampton,11937,18995000,8
2398,3651483610,East Hampton,11937,4495000,6
2399,9135534016,Sagaponack,11962,27500000,17
2400,4320632096,East Hampton,11937,3995000,7
2401,3978840061,Port Jefferson Station,11776,499990,2
2402,4528089672,Westhampton,11977,2699000,4
2403,4560478667,Port Jefferson,11777,975000,5
2404,4622503716,East Islip,11730,400000,2
2405,4355382664,Dix Hills,11746,2475000,4
2406,9942955464,Huntington,11743,1200000,4
2407,4068836272,East Hampton,11937,18995000,8
2408,3533730752,Commack,11725,667000,3
2409,3647622809,Brentwood,11717,639000,2
2410,4124648059,East Hampton,11937,3495000,5
2411,3522803057,East Hampton,11937,2595000,4
2412,9200255023,Water Mill,11976,19950000,12
2413,4154571724,East Hampton,11937,3695000,6
2414,4072798171,Ridge,11961,399000,2
2415,4697368030,Greenport,11944,875000,2
2416,3542840089,Mattituck,11952,1095000,3
2417,4068836272,East Hampton,11937,18995000,8
2418,3651483610,East Hampton,11937,4495000,6
2419,9135534016,Sagaponack,11962,27500000,17
2420,4320632096,East Hampton,11937,3995000,7
2421,3978840061,Port Jefferson Station,11776,499990,2
2422,4528089672,Westhampton,11977,2699000,4
2423,4560478667,Port Jefferson,11777,975000,5
2424,4622503716,East Islip,11730,400000,2
2425,4355382664,Dix Hills,11746,2475000,4
2426,9942955464,Huntington,11743,1200000,4
2427,4068836272,East Hampton,11937,18995000,8
2428,3533730752,Commack,11725,667000,3
2429,3647622809,Brentwood,11717,639000,2
2430,4124648059,East Hampton,11937,3495000,5
2431,3522803057,East Hampton,11937,2595000,4
2432,9200255023,Water Mill,11976,19950000,12
2433,4154571724,East Hampton,11937,3695000,6
2434,4072798171,Ridge,11961,399000,2
2435,4697368030,Greenport,11944,875000,2
2436,3542840089,Mattituck,11952,1095000,3
2437,4068836272,East Hampton,11937,18995000,8
2438,3651483610,East Hampton,11937,4495000,6
2439,9135534016,Sagaponack,11962,27500000,17
2440,4320632096,East Hampton,11937,3995000,7
2441,3978840061,Port Jefferson Station,11776,499990,2
2442,4528089672,Westhampton,11977,2699000,4
2443,4560478667,Port Jefferson,11777,975000,5
2444,4622503716,East Islip,11730,400000,2
2445,4355382664,Dix Hills,11746,2475000,4
2446,9942955464,Huntington,11743,1200000,4
2447,4068836272,East Hampton,11937,18995000,8
2448,3533730752,Commack,11725,667000,3
2449,3647622809,Brentwood,11717,639000,2
2450,4124648059,East Hampton,11937,3495000,5
2451,3522803057,East Hampton,11937,2595000,4
2452,9200255023,Water Mill,11976,19950000,12
2453,4154571724,East Hampton,11937,3695000,6
2454,4072798171,Ridge,11961,399000,2
2455,4697368030,Greenport,11944,875000,2
2456,3542840089,Mattituck,11952,1095000,3
2457,4068836272,East Hampton,11937,18995000,8
2458,3651483610,East Hampton,11937,4495000,6
2459,9135534016,Sagaponack,11962,27500000,17
2460,4320632096,East Hampton,11937,3995000,7
2461,3978840061,Port Jefferson Station,11776,499990,2
2462,4528089672,Westhampton,11977,2699000,4
2463,4560478667,Port Jefferson,11777,975000,5
2464,4622503716,East Islip,11730,400000,2
2465,4355382664,Dix Hills,11746,2475000,4
2466,9942955464,Huntington,11743,1200000,4
2467,4068836272,East Hampton,11937,18995000,8
2468,3533730752,Commack,11725,667000,3
2469,3647622809,Brentwood,11717,639000,2
2470,4124648059,East Hampton,11937,3495000,5
2471,3522803057,East Hampton,11937,2595000,4
2472,9200255023,Water Mill,11976,19950000,12
2473,4154571724,East Hampton,11937,3695000,6
2474,4072798171,Ridge,11961,399000,2
2475,4697368030,Greenport,11944,875000,2
2476,3542840089,Mattituck,11952,1095000,3
2477,4068836272,East Hampton,11937,18995000,8
2478,3651483610,East Hampton,11937,4495000,6
2479,9135534016,Sagaponack,11962,27500000,17
2480,4320632096,East Hampton,11937,3995000,7
2481,3978840061,Port Jefferson Station,11776,499990,2
2482,4528089672,Westhampton,11977,2699000,4
2483,4560478667,Port Jefferson,11777,975000,5
2484,4622503716,East Islip,11730,400000,2
2485,4355382664,Dix Hills,11746,2475000,4
2486,9942955464,Huntington,11743,1200000,4
2487,4068836272,East Hampton,11937,18995000,8
2488,3533730752,Commack,11725,667000,3
2489,3647622809,Brentwood,11717,639000,2
2490,4124648059,East Hampton,11937,3495000,5
2491,3522803057,East Hampton,11937,2595000,4
2492,9200255023,Water Mill,11976,19950000,12
2493,4154571724,East Hampton,11937,3695000,6
2494,4072798171,Ridge,11961,399000,2
2495,4697368030,Greenport,11944,875000,2
2496,3542840089,Mattituck,11952,1095000,3
2497,4068836272,East Hampton,11937,18995000,8
2498,3651483610,East Hampton,11937,4495000,6
2499,9135534016,Sagaponack,11962,27500000,17
2500,4320632096,East Hampton,11937,3995000,7
2501,3978840061,Port Jefferson Station,11776,499990,2
2502,4528089672,Westhampton,11977,2699000,4
2503,4560478667,Port Jefferson,11777,975000,5
2504,4622503716,East Islip,11730,400000,2
2505,4355382664,Dix Hills,11746,2475000,4
2506,9942955464,Huntington,11743,1200000,4
2507,4068836272,East Hampton,11937,18995000,8
2508,3533730752,Commack,11725,667000,3
2509,3647622809,Brentwood,11717,639000,2
2510,4124648059,East Hampton,11937,3495000,5
2511,3522803057,East Hampton,11937,2595000,4
2512,9200255023,Water Mill,11976,19950000,12
2513,4154571724,East Hampton,11937,3695000,6
2514,4072798171,Ridge,11961,399000,2
2515,4697368030,Greenport,11944,875000,2
2516,3542840089,Mattituck,11952,1095000,3
2517,4068836272,East Hampton,11937,18995000,8
2518,3651483610,East Hampton,11937,4495000,6
2519,9135534016,Sagaponack,11962,27500000,17
2520,4320632096,East Hampton,11937,3995000,7
