,id,price,beds,baths,address,postal_code,state,city
101,3467033978,399999,4.0,2.0,2805 Connecticut Ave,11763,NY,Medford
102,4245718809,529000,4.0,2.0,331 Centre Ave,11757,NY,Lindenhurst
103,4900595661,429999,3.0,2.0,206 N Greene Ave,11757,NY,Lindenhurst
104,3368094123,415000,3.0,2.0,625 Myrtle Ave,11795,NY,West Islip
105,4697273872,559000,3.0,2.0,688 Shore Rd,11757,NY,Lindenhurst
106,4031449422,749000,3.0,2.0,103 Eatons Neck Rd,11768,NY,Northport
107,4370460850,359000,3.0,1.0,28 Stockton St,11717,NY,Brentwood
108,9531190632,479990,3.0,3.0,55A Beach Ln Unit A,11727,NY,Coram
109,3824687487,525000,3.0,1.0,19 Benjoe Dr,11701,NY,Amityville
110,9215748403,439990,3.0,2.0,5 Arlington St,11772,NY,Patchogue
111,4102436854,1500000,1.0,1.0,965 Breakwater Rd,11952,NY,Mattituck
112,3682099767,529000,4.0,2.0,4 Pearsall Pl,11729,NY,Deer Park
113,3298046930,525000,3.0,3.0,,11763,NY,Medford
114,3630656839,517000,4.0,2.0,105 Montrose Dr,11776,NY,Port Jefferson Station
115,4021101013,649999,3.0,3.0,95 N Park Ave,11706,NY,Bay Shore
116,4264367767,545000,4.0,2.0,21 W 5th St,11779,NY,Ronkonkoma
117,4049138149,547000,3.0,2.0,71 Albermarle Ave,11746,NY,Huntington Station
118,4945610810,559999,3.0,2.0,26 Arlington St,11772,NY,Patchogue
119,4730021431,1385000,8.0,6.0,400 Montauk Hwy,11940,NY,East Moriches
120,4990672028,310000,3.0,1.0,40 Mastic Blvd W,11967,NY,Shirley
121,4189640381,4500000,4.0,5.0,1 Charles St,11968,NY,Southampton
122,3498515382,1450000,6.0,3.0,43 Ridge Rd W,11963,NY,Sag Harbor
123,4037895727,575000,4.0,3.0,950 Pond Rd,11716,NY,Bohemia
124,4918626080,439999,3.0,3.0,124 S 29th St,11798,NY,Wyandanch
125,4860453057,195000,3.0,1.0,536 N Macdonald Ave,11713,NY,Bellport
126,3970405882,599000,3.0,2.0,196 Sherry St,11730,NY,East Islip
127,4887976141,534900,5.0,2.0,61 Bushwick Ave,11717,NY,Brentwood
128,4391845906,450000,3.0,2.0,31 Creekside Dr,11953,NY,Middle Island
129,3673560792,625000,3.0,1.0,48 Circle Dr,11901,NY,Riverhead
130,3907605371,1388888,6.0,8.0,114 Main St,11934,NY,Center Moriches
131,4467140963,599000,4.0,2.0,60 Wicks Path,11725,NY,Commack
132,4733537852,679990,5.0,3.0,6 Loretta Ave,11720,NY,Centereach
133,4258696100,4000000,4.0,3.0,34 Hoppin Ave,11954,NY,Montauk
134,3924077315,1995000,4.0,3.0,20 Howard St,11937,NY,East Hampton
135,3761746533,715000,3.0,3.0,35 Harvest Ln,11725,NY,Commack
136,4133844156,619999,5.0,3.0,1680 Fairfax Ave,11795,NY,West Islip
137,3584685707,385000,2.0,1.0,99 Richmond Blvd Unit 2A,11779,NY,Ronkonkoma
138,9274419583,2250000,5.0,5.0,740 Royalton Row,11952,NY,Mattituck
139,3154709336,589000,4.0,2.0,19 Beverly Ct,11955,NY,Moriches
140,4517602901,294500,2.0,2.0,66 Cambridge Dr Unit 66,11726,NY,Copiague
141,3084905027,319000,2.0,2.0,638 Fresh Pond Ave Unit 360,11933,NY,Calverton
142,3443233634,288900,1.0,1.0,170 Jervis Ave Unit 170,11735,NY,Farmingdale
143,3815942402,1190000,5.0,4.0,8 Wisteria Ln,11755,NY,Lake Grove
144,9025921618,435000,4.0,2.0,14 Waverly Rd,11967,NY,Shirley
145,3047519187,799999,7.0,3.0,980 Gardiner Dr,11706,NY,Bay Shore
146,4960225358,485000,3.0,1.0,1 Roberts Ln,11940,NY,East Moriches
147,9988574732,688000,4.0,3.0,135 Elizabeth Way,11961,NY,Ridge
148,4051310761,450000,3.0,1.0,2 Harrison Ave,11713,NY,Bellport
149,4397726925,500000,3.0,2.0,19 Ridgewood Dr,11967,NY,Shirley
150,4965824359,489000,4.0,2.0,819 Lindenmere Dr,11703,NY,North Babylon
151,3502343382,675000,6.0,3.0,1 Gladys St,11757,NY,Lindenhurst
152,4368988769,639999,5.0,3.0,2015 Great Neck Rd,11726,NY,Copiague
153,4029807794,479000,3.0,3.0,167 N Evergreen Dr,11784,NY,Selden
154,9915993935,3995000,4.0,3.0,610 Dune Rd,11977,NY,Westhampton
155,3479770613,2500000,3.0,3.0,4 Carriage Ln,11968,NY,Southampton
156,4431944579,549995,3.0,2.0,25 Alma Ave,11784,NY,Selden
157,4909167531,409000,2.0,1.0,14 Rodney Pl,11701,NY,Amityville
158,4286559499,250000,1.0,1.0,99 Newbrook Ln Unit 99,11706,NY,Bay Shore
159,4450899309,619900,3.0,2.0,27 Schuyler Dr,11725,NY,Commack
160,3127426478,775000,3.0,2.0,1475 Cox Neck Rd,11952,NY,Mattituck
161,3713860317,549000,4.0,3.0,194 Cranford Blvd,11950,NY,Mastic
162,3483310878,7250000,8.0,9.0,27 Adams Ln,11968,NY,Southampton
163,3302184856,6995000,7.0,8.0,99 Big Fresh Pond Rd,11968,NY,Southampton
164,3485632832,399000,3.0,1.0,40 W 5th St,11779,NY,Ronkonkoma
165,4515177099,399000,3.0,4.0,71 W Margin Dr,11967,NY,Shirley
166,3635652585,519000,2.0,1.0,20 Carlls Path,11703,NY,North Babylon
167,3155083922,5500000,7.0,5.0,7 Sea Crest Dr,11743,NY,Lloyd Harbor
168,9605577626,675000,3.0,1.0,26 Bayview Ave,11757,NY,Lindenhurst
169,3519024003,889000,4.0,3.0,8 Atlantic Ave,11946,NY,Hampton Bays
170,4647254600,579999,3.0,4.0,4 Fairway Dr,11953,NY,Middle Island
171,9966142599,129900,2.0,2.0,525 Riverleigh Ave Unit 156,11901,NY,Riverhead
172,3755220958,429000,3.0,3.0,1533 Ferndale Blvd,11722,NY,Central Islip
173,3959159791,550000,3.0,2.0,15 Walnut Pl,11743,NY,Huntington
174,3668914961,1150000,4.0,3.0,4 Logan Pl,11743,NY,Huntington
175,9843351826,629990,5.0,3.0,Currans Rd Lot 3,11953,NY,Middle Island
176,3459973045,425000,4.0,2.0,33 Poncho Dr,11950,NY,Mastic
177,9475374168,1878000,5.0,6.0,375 Moores Ln N,11944,NY,Greenport
178,3545567504,624999,3.0,2.0,246 Litchfield Ave,11702,NY,Babylon
179,4054666104,409995,4.0,2.0,26 Furman Ave,11772,NY,East Patchogue
180,9324505270,634999,4.0,2.0,253 N Wellwood Ave,11757,NY,Lindenhurst
181,3887093756,539000,2.0,3.0,83 Paddington Cir Unit 83,11787,NY,Smithtown
182,4863766241,569999,4.0,1.0,514 48th St,11757,NY,Lindenhurst
183,3256681031,549000,4.0,2.0,87 Hilltop Dr,11717,NY,Brentwood
184,3844822468,399000,3.0,1.0,1040 Herzel Blvd,11704,NY,West Babylon
185,4701378047,789000,4.0,2.0,28 Sheppard Ln,11743,NY,Huntington
186,3841044423,895000,5.0,4.0,29 Sweetgum Ln,11764,NY,Miller Place
187,4204303384,640000,4.0,3.0,11 Leghorn Ct,11746,NY,Huntington Station
188,3258874646,429000,3.0,2.0,49 Lambert Ave,11950,NY,Mastic
